feature,beta_std,abs_beta_std,readable_feature
HOME_EQUITY,551232.6166408483,551232.6166408483,Home Equity (Home Value - Mortgage)
PEFATINC,429156.0639652448,429156.0639652448,After-Tax Income
PWAPRVAL,342093.3680568291,342093.3680568291,Home Value
PFMTYPG=9,340630.40341015026,340630.40341015026,Family Type
SAVINGS_GAP,334266.0598806137,334266.0598806137,Savings Minus Credit Card Debt
LIQUID_ASSETS,313813.20860806917,313813.20860806917,Liquid Assets (Deposits + TFSA)
PWDPRMOR,-240805.12720519712,240805.12720519712,Mortgage Debt
PWASTDEP,-211439.30928297323,211439.30928297323,Bank Deposits
DEBT_TO_INCOME,100556.6979777897,100556.6979777897,Debt-to-Income Ratio
PAGEMIEG=2,-95413.38159313242,95413.38159313242,Age Group
PFMTYPG=4,-87230.01644920478,87230.01644920478,Family Type
PAGEMIEG=5,76264.80764358636,76264.80764358636,Age Group
TOTAL_DEBT,71311.97608672225,71311.97608672225,Total Debt (Mortgage + Student + Credit Card + LOC)
PFMTYPG=3,-67687.16211635977,67687.16211635977,Family Type
PFMTYPG=2,-65031.463258578726,65031.463258578726,Family Type
PPVRES=11,-64091.52542920426,64091.52542920426,Province
PAGEMIEG=6,61452.13258413655,61452.13258413655,Age Group
LIQUIDITY_TO_INCOME,-58395.42395629763,58395.42395629763,Liquidity-to-Income Ratio
PPVRES=10,-54591.59140715617,54591.59140715617,Province
PPVRES=59,-54486.43322013219,54486.43322013219,Province
PAGEMIEG=7,-52036.13471043688,52036.13471043688,Age Group
PLFFPTME=1,-47998.8368184291,47998.8368184291,Work Status 2022
PAGEMIEG=3,-47720.876129935954,47720.876129935954,Age Group
PWDSTLOC,-46856.447041933534,46856.447041933534,Line of Credit Debt
PWATFS,44992.69623523077,44992.69623523077,TFSA Balance
PPVRES=24,42660.3684801893,42660.3684801893,Province
PPVRES=35,41583.60362097758,41583.60362097758,Province
PFTENUR=2,-41460.015154402325,41460.015154402325,Home Ownership
PLFFPTME=3,41231.39057703841,41231.39057703841,Work Status 2022
PWDSLOAN,-40189.898270842,40189.898270842,Student Loan Debt
PEDUCMIE=4,39784.811847854966,39784.811847854966,Education Level
PFTENUR=3,38392.15360516359,38392.15360516359,Home Ownership
PNBEARG=3,-37509.11224605996,37509.11224605996,Number of Earners
PAGEMIEG=1,-33672.962814436396,33672.962814436396,Age Group
PNBEARG=1,32145.61970893896,32145.61970893896,Number of Earners
PFMTYPG=1,-29287.540171333574,29287.540171333574,Family Type
PPVRES=48,29002.95717898673,29002.95717898673,Province
PEDUCMIE=1,-28512.97142242589,28512.97142242589,Education Level
PATTCRU=6,-20937.198970920108,20937.198970920108,Credit Card Payment
PPVRES=13,-20284.380085776356,20284.380085776356,Province
PNBEARG=9,-19736.72499687655,19736.72499687655,Number of Earners
PLFFPTME=2,19153.47700218189,19153.47700218189,Work Status 2022
HOME_EQUITY_TO_VALUE,-19122.463036172805,19122.463036172805,Home Equity as Share of Home Value
PATTCRU=4,18020.524583971444,18020.524583971444,Credit Card Payment
PPVRES=47,16357.020854695915,16357.020854695915,Province
PEDUCMIE=2,-16137.750647112098,16137.750647112098,Education Level
PPVRES=12,-13167.195535619057,13167.195535619057,Province
PATTCRU=5,-12231.27757965906,12231.27757965906,Credit Card Payment
PLFFPTME=6,-12209.60345559431,12209.60345559431,Work Status 2022
PEDUCMIE=3,-11015.862092208568,11015.862092208568,Education Level
PFTENUR=1,7971.19540863065,7971.19540863065,Home Ownership
PATTSITC=2,-7702.154935776366,7702.154935776366,COVID Financial Impact
PATTSKP=2,-7591.102324736851,7591.102324736851,Skipped Payments
PATTSKP=1,7591.102324696052,7591.102324696052,Skipped Payments
PATTSITC=3,7155.926172943956,7155.926172943956,COVID Financial Impact
PNBEARG=2,6999.68399441565,6999.68399441565,Number of Earners
PATTCRU=1,-6996.251185081947,6996.251185081947,Credit Card Payment
PNBEARG=0,-6747.237163312858,6747.237163312858,Number of Earners
PATTCRU=2,-6069.240788708992,6069.240788708992,Credit Card Payment
PEDUCMIE=9,-6047.332710396919,6047.332710396919,Education Level
PAGEMIEG=4,2605.5874680238553,2605.5874680238553,Age Group
PLFFPTME=9,2350.2272113334325,2350.2272113334325,Work Status 2022
PWDSTCRD,-2239.604256608555,2239.604256608555,Credit Card Debt
PATTCRU=3,-830.6331295992985,830.6331295992985,Credit Card Payment
PPVRES=46,817.6377301027541,817.6377301027541,Province
PATTSITC=1,62.575565713522785,62.575565713522785,COVID Financial Impact
